,name,time,identifiers,data,correlation_ids,origin,context,visibility,unique_id
0,gs.up.receive,2022-03-09T19:47:36.051125684Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.UplinkMessage', 'raw_payload': 'QIE3DCaAJAABOKMZ40it7EGPVXltmGM/9dc=', 'payload': {'m_hdr': {'m_type': 'UNCONFIRMED_UP'}, 'mic': 'Yz/11w==', 'mac_payload': {'f_hdr': {'dev_addr': '260C3781', 'f_ctrl': {'adr': True}, 'f_cnt': 36}, 'f_port': 1, 'frm_payload': 'OKMZ40it7EGPVXltmA=='}}, 'settings': {'data_rate': {'lora': {'bandwidth': 125000, 'spreading_factor': 7}}, 'coding_rate': '4/5', 'frequency': '904300000', 'timestamp': 128102347, 'time': '2022-03-09T19:47:35.981180906Z'}, 'rx_metadata': [{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}, 'time': '2022-03-09T19:47:35.981180906Z', 'timestamp': 128102347, 'rssi': -34, 'channel_rssi': -34, 'snr': 7.5, 'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BDL34o9GgsI2IikkQYQ6ImlGCD44fqb3e4GKgwI14ikkQYQ6sPu0wM='}], 'received_at': '2022-03-09T19:47:36.050939112Z', 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HXZK384E21RF5GSF573N']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HXZK384E21RF5GSF573N']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3HXZK2FP2JADE7HKG4YB1
1,gs.down.send,2022-03-09T19:47:24.936751414Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.DownlinkMessage', 'raw_payload': 'YL+WDCagCwAAmiLA0Ep+alDCBBPltMUgWZOir+BNAQ==', 'request': {'downlink_paths': [{'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BDDx8o3GgwIzIikkQYQiLXt+AEguOO+nrLuBioMCMyIpJEGEMixw9kB'}], 'rx1_delay': 5, 'rx1_data_rate': {'lora': {'bandwidth': 500000, 'spreading_factor': 7}}, 'rx1_frequency': '923300000', 'rx2_data_rate': {'lora': {'bandwidth': 500000, 'spreading_factor': 12}}, 'rx2_frequency': '923300000', 'priority': 'HIGHEST', 'frequency_plan_id': 'US_902_928_FSB_2'}, 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:up:host:01FXQ6RFG6QX89K86TE6P1SZ82', 'gs:uplink:01FXR3HJQA5WNYNVPAP7DWCK2F', 'ns:downlink:01FXR3HK48DQ4JBZXWKZKFS64C', 'ns:uplink:01FXR3HJQBDXXVNY3795T6DZ3W', 'rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01FXR3HJQB2FKPSRB2ETDQ4CG3', 'gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'rpc:/ttn.lorawan.v3.NsGs/ScheduleDownlink:01FXR3HK48YRQKV2ZS2AT6W6YN']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'rpc:/ttn.lorawan.v3.NsGs/ScheduleDownlink:01FXR3HK48YRQKV2ZS2AT6W6YN']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3HK48E9HC11YT47NN4AQH
2,gs.up.receive,2022-03-09T19:47:24.522066969Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.UplinkMessage', 'raw_payload': 'gL+WDCaADAABwxmARGtB5pSWOIXjxLA=', 'payload': {'m_hdr': {'m_type': 'CONFIRMED_UP'}, 'mic': 'hePEsA==', 'mac_payload': {'f_hdr': {'dev_addr': '260C96BF', 'f_ctrl': {'adr': True}, 'f_cnt': 12}, 'f_port': 1, 'frm_payload': 'wxmARGtB5pSWOA=='}}, 'settings': {'data_rate': {'lora': {'bandwidth': 125000, 'spreading_factor': 7}}, 'coding_rate': '4/5', 'frequency': '903900000', 'timestamp': 116564931, 'time': '2022-03-09T19:47:24.456186056Z'}, 'rx_metadata': [{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}, 'time': '2022-03-09T19:47:24.456186056Z', 'timestamp': 116564931, 'rssi': -73, 'channel_rssi': -73, 'snr': 10.5, 'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BDDx8o3GgwIzIikkQYQiLXt+AEguOO+nrLuBioMCMyIpJEGEMixw9kB'}], 'received_at': '2022-03-09T19:47:24.521886344Z', 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HJQA5WNYNVPAP7DWCK2F']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HJQA5WNYNVPAP7DWCK2F']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3HJQA7YKYHXN0Y80VBRYV
3,gs.up.receive,2022-03-09T19:47:23.848718486Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.UplinkMessage', 'raw_payload': 'QIE3DCaAIwABXXkZH4rSCLPYx9a6qVpR1TY=', 'payload': {'m_hdr': {'m_type': 'UNCONFIRMED_UP'}, 'mic': 'WlHVNg==', 'mac_payload': {'f_hdr': {'dev_addr': '260C3781', 'f_ctrl': {'adr': True}, 'f_cnt': 35}, 'f_port': 1, 'frm_payload': 'XXkZH4rSCLPYx9a6qQ=='}}, 'settings': {'data_rate': {'lora': {'bandwidth': 125000, 'spreading_factor': 7}}, 'coding_rate': '4/5', 'frequency': '904900000', 'timestamp': 115889476, 'time': '2022-03-09T19:47:23.782227039Z'}, 'rx_metadata': [{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}, 'time': '2022-03-09T19:47:23.782227039Z', 'timestamp': 115889476, 'rssi': -33, 'channel_rssi': -33, 'snr': 10.5, 'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BDEqqE3GgwIy4ikkQYQy+W/lAMgoKO03K/uBioMCMuIpJEGEN+s//QC'}], 'received_at': '2022-03-09T19:47:23.848294603Z', 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HJ28HZCX9PHDKZQTVEDG']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HJ28HZCX9PHDKZQTVEDG']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3HJ285F4RP03FEA4R31FH
4,gs.down.send,2022-03-09T19:47:21.804718801Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.DownlinkMessage', 'raw_payload': 'YKHBDCarEgAGAzAAAHEDMAD/Add1snE=', 'request': {'downlink_paths': [{'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BCr6Is2GgwIyYikkQYQpPTQtgEg+I+nzKbuBioMCMmIpJEGEJ3WrJcB'}], 'rx1_delay': 1, 'rx1_data_rate': {'lora': {'bandwidth': 500000, 'spreading_factor': 7}}, 'rx1_frequency': '923300000', 'rx2_data_rate': {'lora': {'bandwidth': 500000, 'spreading_factor': 10}}, 'rx2_frequency': '923300000', 'priority': 'HIGHEST', 'frequency_plan_id': 'US_902_928_FSB_2'}, 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:up:host:01FXQ6RFG6QX89K86TE6P1SZ82', 'gs:uplink:01FXR3HFN7BZ2K19PA8GH848YX', 'ns:downlink:01FXR3HG2B063Z5DMBAAEVWB43', 'ns:uplink:01FXR3HFN817J3YS9CAEG3W7BV', 'rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01FXR3HFN8W9VSRNE9VZJGH3XZ', 'gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'rpc:/ttn.lorawan.v3.NsGs/ScheduleDownlink:01FXR3HG2CKSFH5G6X4AEW1FKS']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'rpc:/ttn.lorawan.v3.NsGs/ScheduleDownlink:01FXR3HG2CKSFH5G6X4AEW1FKS']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3HG2CX9C11FPZJCWEX2Q0
5,gs.up.receive,2022-03-09T19:47:21.383213161Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.UplinkMessage', 'raw_payload': 'gKHBDCaAEwABUsXVYifoOkPM9g==', 'payload': {'m_hdr': {'m_type': 'CONFIRMED_UP'}, 'mic': 'OkPM9g==', 'mac_payload': {'f_hdr': {'dev_addr': '260CC1A1', 'f_ctrl': {'adr': True}, 'f_cnt': 19}, 'f_port': 1, 'frm_payload': 'UsXVYifo'}}, 'settings': {'data_rate': {'lora': {'bandwidth': 125000, 'spreading_factor': 7}}, 'coding_rate': '4/5', 'frequency': '903900000', 'timestamp': 113439787, 'time': '2022-03-09T19:47:21.317401885Z'}, 'rx_metadata': [{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}, 'time': '2022-03-09T19:47:21.317401885Z', 'timestamp': 113439787, 'rssi': -93, 'channel_rssi': -93, 'snr': 8.75, 'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BCr6Is2GgwIyYikkQYQpPTQtgEg+I+nzKbuBioMCMmIpJEGEJ3WrJcB'}], 'received_at': '2022-03-09T19:47:21.383007268Z', 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HFN7BZ2K19PA8GH848YX']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3HFN7BZ2K19PA8GH848YX']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3HFN7PFMTJY96RCEQ13CA
6,gs.up.receive,2022-03-09T19:47:11.617008594Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.UplinkMessage', 'raw_payload': 'QIE3DCaAIgABwp8YadcUYCULGGLkSEWI71k=', 'payload': {'m_hdr': {'m_type': 'UNCONFIRMED_UP'}, 'mic': 'RYjvWQ==', 'mac_payload': {'f_hdr': {'dev_addr': '260C3781', 'f_ctrl': {'adr': True}, 'f_cnt': 34}, 'f_port': 1, 'frm_payload': 'wp8YadcUYCULGGLkSA=='}}, 'settings': {'data_rate': {'lora': {'bandwidth': 125000, 'spreading_factor': 7}}, 'coding_rate': '4/5', 'frequency': '904700000', 'timestamp': 103673923, 'time': '2022-03-09T19:47:11.550152063Z'}, 'rx_metadata': [{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}, 'time': '2022-03-09T19:47:11.550152063Z', 'timestamp': 103673923, 'rssi': -32, 'channel_rssi': -32, 'snr': 9, 'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BDD4LcxGgwIv4ikkQYQ0sWPpgIguIvKm4LuBioMCL+IpJEGEP/OqoYC'}], 'received_at': '2022-03-09T19:47:11.616817362Z', 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3H64167TE2RVWT3B6Q34A']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3H64167TE2RVWT3B6Q34A']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3H641QCWDZQ6PPGTK3881
7,gs.up.receive,2022-03-09T19:46:59.411578446Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.UplinkMessage', 'raw_payload': 'QIE3DCaAIQABHYhzyxpehYbNr/CExW+6I1I=', 'payload': {'m_hdr': {'m_type': 'UNCONFIRMED_UP'}, 'mic': 'b7ojUg==', 'mac_payload': {'f_hdr': {'dev_addr': '260C3781', 'f_ctrl': {'adr': True}, 'f_cnt': 33}, 'f_port': 1, 'frm_payload': 'HYhzyxpehYbNr/CExQ=='}}, 'settings': {'data_rate': {'lora': {'bandwidth': 125000, 'spreading_factor': 7}}, 'coding_rate': '4/5', 'frequency': '903900000', 'timestamp': 91461019, 'time': '2022-03-09T19:46:59.344144105Z'}, 'rx_metadata': [{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}, 'time': '2022-03-09T19:46:59.344144105Z', 'timestamp': 91461019, 'rssi': -36, 'channel_rssi': -36, 'snr': 11.5, 'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BCbq84rGgwIs4ikkQYQtJuVxAEg+MqB3NTtBioMCLOIpJEGEOnxjKQB'}], 'received_at': '2022-03-09T19:46:59.411389364Z', 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3GT6KAT90DV8R7P74FWBX']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:uplink:01FXR3GT6KAT90DV8R7P74FWBX']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3GT6K0XZSBY77D8SM75QS
8,gs.down.send,2022-03-09T19:46:56.739452544Z,"[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}, {'gateway_ids': {'gateway_id': 'things-network-8-chan-gt', 'eui': '58A0CBFFFE8038F0'}}]","{'@type': 'type.googleapis.com/ttn.lorawan.v3.DownlinkMessage', 'raw_payload': 'YKHBDCarEQAGAzAAAHEDMAD/AXNKKJ0=', 'request': {'downlink_paths': [{'uplink_token': 'CiYKJAoYdGhpbmdzLW5ldHdvcmstOC1jaGFuLWd0EghYoMv//oA48BCDxpEqGgwIsIikkQYQ74T5lwEguIeLmcntBioLCLCIpJEGEOy+rng='}], 'rx1_delay': 1, 'rx1_data_rate': {'lora': {'bandwidth': 500000, 'spreading_factor': 7}}, 'rx1_frequency': '923300000', 'rx2_data_rate': {'lora': {'bandwidth': 500000, 'spreading_factor': 10}}, 'rx2_frequency': '923300000', 'priority': 'HIGHEST', 'frequency_plan_id': 'US_902_928_FSB_2'}, 'correlation_ids': ['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'gs:up:host:01FXQ6RFG6QX89K86TE6P1SZ82', 'gs:uplink:01FXR3GQ5YEXRSMDKJE5YCARQA', 'ns:downlink:01FXR3GQK242GH96X2WYHKBEN5', 'ns:uplink:01FXR3GQ5ZWP1Y1TTXEEVRST6Z', 'rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01FXR3GQ5ZSRKF9GXY5GK0V88A', 'gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'rpc:/ttn.lorawan.v3.NsGs/ScheduleDownlink:01FXR3GQK3EQ4TV568TYNWE48W']}","['gs:conn:01FXQ6RFBJPP00QB8R1TDZBKNH', 'rpc:/ttn.lorawan.v3.NsGs/ScheduleDownlink:01FXR3GQK3EQ4TV568TYNWE48W']",ip-10-101-14-35.us-west-1.compute.internal,{'tenant-id': 'CgN0dG4='},"{'rights': ['RIGHT_GATEWAY_TRAFFIC_READ', 'RIGHT_GATEWAY_TRAFFIC_READ']}",01FXR3GQK3KSKM36YWV824GKTJ
9,gateway.update,2022-03-09T11:24:16.660128725Z,[{'gateway_ids': {'gateway_id': 'things-network-8-chan-gt'}}],,,,{'tenant-id': 'CgN0dG4='},{'rights': ['RIGHT_GATEWAY_INFO']},01FXQ6RACMFM48XNGR3JK6ZG8K
