dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260C96BF,2022-03-15T20:03:17.129961283Z,CONFIRMED_UP,277,1,125000,7,4/5,903900000,-69,-69,9,10060.968527004123
260C96BF,2022-03-15T20:03:27.212909715Z,CONFIRMED_UP,278,1,125000,7,4/5,903900000,-67,-67,8.75,10082.948431998491
260C96BF,2022-03-15T20:03:37.272322436Z,CONFIRMED_UP,279,1,125000,7,4/5,903900000,-69,-69,8,10059.412721008062
260C96BF,2022-03-15T20:03:47.337388007Z,CONFIRMED_UP,280,1,125000,7,4/5,903900000,-67,-67,9.5,10065.065570995212
260C96BF,2022-03-15T20:03:57.401974606Z,CONFIRMED_UP,281,1,125000,7,4/5,903900000,-67,-67,9.25,10064.586599007249
260C96BF,2022-03-15T20:04:07.482367330Z,CONFIRMED_UP,282,1,125000,7,4/5,903900000,-69,-69,10,10080.392723992467
260C96BF,2022-03-15T20:04:17.542333012Z,CONFIRMED_UP,283,1,125000,7,4/5,903900000,-67,-67,8.5,10059.965681999922
260C96BF,2022-03-15T20:04:27.604745864Z,CONFIRMED_UP,284,1,125000,7,4/5,903900000,-69,-69,9,10062.41285200417
260C96BF,2022-03-15T20:04:37.683210948Z,CONFIRMED_UP,285,1,125000,7,4/5,903900000,-67,-67,9,10078.465084001422
260C96BF,2022-03-15T20:04:47.753956210Z,CONFIRMED_UP,286,1,125000,7,4/5,903900000,-69,-69,9.25,10070.745261996984
260C96BF,2022-03-15T20:04:57.820250532Z,CONFIRMED_UP,287,1,125000,7,4/5,903900000,-67,-67,9,10066.294321998954
260C96BF,2022-03-15T20:05:07.891372632Z,CONFIRMED_UP,288,1,125000,7,4/5,903900000,-69,-69,9.5,10071.122099995613
260C96BF,2022-03-15T20:05:17.962906742Z,CONFIRMED_UP,289,1,125000,7,4/5,903900000,-69,-69,9,10071.53411000967
260C96BF,2022-03-15T20:05:28.021150614Z,CONFIRMED_UP,290,1,125000,7,4/5,903900000,-67,-67,9.5,10058.243871986866
260C96BF,2022-03-15T20:05:38.093084702Z,CONFIRMED_UP,291,1,125000,7,4/5,903900000,-69,-69,8.75,10071.934088006616
260C96BF,2022-03-15T20:05:48.163620554Z,CONFIRMED_UP,292,1,125000,7,4/5,903900000,-69,-69,9,10070.535852000117
260C96BF,2022-03-15T20:05:58.232712250Z,CONFIRMED_UP,293,1,125000,7,4/5,903900000,-67,-67,9,10069.091695994139
260C96BF,2022-03-15T20:06:08.284191101Z,CONFIRMED_UP,294,1,125000,7,4/5,903900000,-69,-69,10,10051.478851005435
260C96BF,2022-03-15T20:06:18.328978810Z,CONFIRMED_UP,295,1,125000,7,4/5,903900000,-69,-69,10.5,10044.787708997726
260C96BF,2022-03-15T20:06:28.395102399Z,CONFIRMED_UP,296,1,125000,7,4/5,903900000,-67,-67,8.25,10066.123589009047
260C96BF,2022-03-15T20:06:38.455123958Z,CONFIRMED_UP,297,1,125000,7,4/5,903900000,-67,-67,10.25,10060.021559000015
260C96BF,2022-03-15T20:06:48.543462957Z,CONFIRMED_UP,298,1,125000,7,4/5,903900000,-69,-69,10,10088.33899898827
260C96BF,2022-03-15T20:06:58.576226700Z,CONFIRMED_UP,299,1,125000,7,4/5,903900000,-69,-69,9.75,10032.763742998242
260C96BF,2022-03-15T20:07:08.620411555Z,CONFIRMED_UP,300,1,125000,7,4/5,903900000,-69,-69,9.25,10044.184855014086
260C96BF,2022-03-15T20:07:18.687990661Z,CONFIRMED_UP,301,1,125000,7,4/5,903900000,-69,-69,10.25,10067.579105988145
