dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260CC1A1,2022-03-17T11:47:47.221850711Z,UNCONFIRMED_UP,3520,1,125000,7,4/5,903900000,-102,-102,6.75,19651.02303799987
260CC1A1,2022-03-17T11:48:08.357583063Z,UNCONFIRMED_UP,3521,1,125000,7,4/5,903900000,-103,-103,7.25,21135.732351996005
260CC1A1,2022-03-17T11:48:29.515881711Z,UNCONFIRMED_UP,3522,1,125000,7,4/5,903900000,-102,-102,7,21158.298647999763
260CC1A1,2022-03-17T11:48:49.161713276Z,UNCONFIRMED_UP,3523,1,125000,7,4/5,903900000,-102,-102,6.5,19645.831565000117
260CC1A1,2022-03-17T11:49:08.787597299Z,UNCONFIRMED_UP,3524,1,125000,7,4/5,903900000,-103,-103,7,19625.88402300328
260CC1A1,2022-03-17T11:49:28.441668558Z,UNCONFIRMED_UP,3525,1,125000,7,4/5,903900000,-103,-103,6.25,19654.071258999407
260CC1A1,2022-03-17T11:49:49.592075017Z,UNCONFIRMED_UP,3526,1,125000,7,4/5,903900000,-101,-101,6.5,21150.406458996236
260CC1A1,2022-03-17T11:50:09.230800402Z,UNCONFIRMED_UP,3527,1,125000,7,4/5,903900000,-101,-101,6.25,19638.725385002792
260CC1A1,2022-03-17T11:50:30.365036792Z,UNCONFIRMED_UP,3528,1,125000,7,4/5,903900000,-103,-103,6.5,21134.236390002072
260CC1A1,2022-03-17T11:50:51.527592478Z,UNCONFIRMED_UP,3529,1,125000,7,4/5,903900000,-103,-103,6.25,21162.55568599701
260CC1A1,2022-03-17T11:51:11.166826980Z,UNCONFIRMED_UP,3530,1,125000,7,4/5,903900000,-103,-103,6.75,19639.234502002597
260CC1A1,2022-03-17T11:51:30.810876113Z,UNCONFIRMED_UP,3531,1,125000,7,4/5,903900000,-101,-101,6,19644.049132995307
260CC1A1,2022-03-17T11:51:50.457980545Z,UNCONFIRMED_UP,3532,1,125000,7,4/5,903900000,-103,-103,6.75,19647.10443200171
260CC1A1,2022-03-17T11:52:10.087525738Z,UNCONFIRMED_UP,3533,1,125000,7,4/5,903900000,-103,-103,6.75,19629.545193001628
260CC1A1,2022-03-17T11:52:29.739536048Z,UNCONFIRMED_UP,3534,1,125000,7,4/5,903900000,-103,-103,6.5,19652.01031000167
260CC1A1,2022-03-17T11:52:49.386518266Z,UNCONFIRMED_UP,3535,1,125000,7,4/5,903900000,-103,-103,7,19646.982217997313
260CC1A1,2022-03-17T11:53:09.027267269Z,UNCONFIRMED_UP,3536,1,125000,7,4/5,903900000,-103,-103,6.25,19640.749003000557
260CC1A1,2022-03-17T11:53:28.667922049Z,UNCONFIRMED_UP,3537,1,125000,7,4/5,903900000,-103,-103,6.25,19640.65478000045
260CC1A1,2022-03-17T11:53:48.321993535Z,UNCONFIRMED_UP,3538,1,125000,7,4/5,903900000,-102,-102,6.75,19654.071485996246
260CC1A1,2022-03-17T11:54:09.464318978Z,UNCONFIRMED_UP,3539,1,125000,7,4/5,903900000,-102,-102,6,21142.3254429996
260CC1A1,2022-03-17T11:54:29.096090445Z,UNCONFIRMED_UP,3540,1,125000,7,4/5,903900000,-101,-101,6.75,19631.771467000246
260CC1A1,2022-03-17T11:54:48.747454472Z,UNCONFIRMED_UP,3541,1,125000,7,4/5,903900000,-103,-103,6.5,19651.364027000964
260CC1A1,2022-03-17T11:55:08.389560291Z,UNCONFIRMED_UP,3542,1,125000,7,4/5,903900000,-101,-101,6.25,19642.105819001794
260CC1A1,2022-03-17T11:55:28.035018687Z,UNCONFIRMED_UP,3543,1,125000,7,4/5,903900000,-102,-102,6.25,19645.45839600265
260CC1A1,2022-03-17T11:55:49.181689097Z,UNCONFIRMED_UP,3544,1,125000,7,4/5,903900000,-103,-103,6.75,21146.670409999788
260CC1A1,2022-03-17T11:56:08.813781026Z,UNCONFIRMED_UP,3545,1,125000,7,4/5,903900000,-103,-103,6.5,19632.091928996146
