dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260C60B0,2022-03-31T06:47:09.768999034Z,UNCONFIRMED_UP,3459,1,125000,7,4/5,904500000,-27,-27,10,16116.58843800053
260C60B0,2022-03-31T06:47:25.893437592Z,UNCONFIRMED_UP,3460,1,125000,7,4/5,905300000,-26,-26,8.5,16124.438558001071
260C60B0,2022-03-31T06:47:42.028889310Z,UNCONFIRMED_UP,3461,1,125000,7,4/5,904500000,-27,-27,9.75,16135.451717998832
260C60B0,2022-03-31T06:47:58.164383057Z,UNCONFIRMED_UP,3462,1,125000,7,4/5,905300000,-24,-24,9.25,16135.493746999651
260C60B0,2022-03-31T06:48:14.281840004Z,UNCONFIRMED_UP,3463,1,125000,7,4/5,905100000,-27,-27,9.25,16117.45694700256
260C60B0,2022-03-31T06:48:30.396778929Z,UNCONFIRMED_UP,3464,1,125000,7,4/5,904100000,-27,-27,9.5,16114.938924998045
260C60B0,2022-03-31T06:48:46.533523644Z,UNCONFIRMED_UP,3465,1,125000,7,4/5,904700000,-25,-25,10.75,16136.744715001434
260C60B0,2022-03-31T06:49:02.658032696Z,UNCONFIRMED_UP,3466,1,125000,7,4/5,904300000,-27,-27,7.75,16124.50905200094
260C60B0,2022-03-31T06:49:18.780758041Z,UNCONFIRMED_UP,3467,1,125000,7,4/5,904900000,-25,-25,10,16122.725345000625
260C60B0,2022-03-31T06:49:34.911646963Z,UNCONFIRMED_UP,3468,1,125000,7,4/5,903900000,-29,-29,10,16130.888921998441
260C60B0,2022-03-31T06:49:51.030584209Z,UNCONFIRMED_UP,3469,1,125000,7,4/5,904700000,-25,-25,10.75,16118.937245998532
260C60B0,2022-03-31T06:50:07.171176708Z,UNCONFIRMED_UP,3470,1,125000,7,4/5,903900000,-25,-25,9.25,16140.592499002814
260C60B0,2022-03-31T06:50:23.283678701Z,UNCONFIRMED_UP,3471,1,125000,7,4/5,905100000,-27,-27,9.5,16112.501992996782
260C60B0,2022-03-31T06:50:39.427319837Z,UNCONFIRMED_UP,3472,1,125000,7,4/5,904500000,-24,-24,9,16143.641136001796
260C60B0,2022-03-31T06:50:55.545624112Z,UNCONFIRMED_UP,3473,1,125000,7,4/5,904100000,-25,-25,9.25,16118.304274998605
260C60B0,2022-03-31T06:51:11.672273761Z,UNCONFIRMED_UP,3474,1,125000,7,4/5,904900000,-27,-27,10.75,16126.649649001658
260C60B0,2022-03-31T06:51:27.802580574Z,UNCONFIRMED_UP,3475,1,125000,7,4/5,905300000,-23,-23,10,16130.306812997907
260C60B0,2022-03-31T06:51:43.921394589Z,UNCONFIRMED_UP,3476,1,125000,7,4/5,904300000,-24,-24,7.25,16118.814015001059
260C60B0,2022-03-31T06:52:00.035851069Z,UNCONFIRMED_UP,3477,1,125000,7,4/5,903900000,-27,-27,9.75,16114.456480000168
260C60B0,2022-03-31T06:52:16.165604694Z,UNCONFIRMED_UP,3478,1,125000,7,4/5,904700000,-27,-27,10,16129.753625001758
260C60B0,2022-03-31T06:52:21.728480506Z,UNCONFIRMED_UP,3479,,125000,7,4/5,904500000,-27,-27,9,5562.875811997801
260C60B0,2022-03-31T06:52:37.865711469Z,UNCONFIRMED_UP,3480,1,125000,7,4/5,905100000,-27,-27,10.25,16137.230962999165
260C60B0,2022-03-31T06:52:53.983028477Z,UNCONFIRMED_UP,3481,1,125000,7,4/5,904300000,-23,-23,7.5,16117.317007999867
260C60B0,2022-03-31T06:53:10.117234577Z,UNCONFIRMED_UP,3482,1,125000,7,4/5,905300000,-26,-26,9.25,16134.206100001931
260C60B0,2022-03-31T06:53:26.238706998Z,UNCONFIRMED_UP,3483,1,125000,7,4/5,904100000,-27,-27,9.5,16121.472421001643
260C60B0,2022-03-31T06:53:42.355031505Z,UNCONFIRMED_UP,3484,1,125000,7,4/5,904900000,-25,-25,9.5,16116.324506998062
260C60B0,2022-03-31T06:53:58.488428105Z,UNCONFIRMED_UP,3485,1,125000,7,4/5,904500000,-27,-27,9.5,16133.39660000056
260C60B0,2022-03-31T06:54:14.612837040Z,UNCONFIRMED_UP,3486,1,125000,7,4/5,904300000,-23,-23,7.5,16124.408934999257
260C60B0,2022-03-31T06:54:30.737315097Z,UNCONFIRMED_UP,3487,1,125000,7,4/5,905300000,-27,-27,10.25,16124.478057000786
260C60B0,2022-03-31T06:54:46.857026817Z,UNCONFIRMED_UP,3488,1,125000,7,4/5,904700000,-25,-25,9.5,16119.711720000952
260C60B0,2022-03-31T06:55:02.994818378Z,UNCONFIRMED_UP,3489,1,125000,7,4/5,903900000,-27,-27,10.25,16137.79156100005
260C60B0,2022-03-31T06:55:19.115679957Z,UNCONFIRMED_UP,3490,1,125000,7,4/5,904900000,-25,-25,9.25,16120.861578997225
260C60B0,2022-03-31T06:55:35.255083305Z,UNCONFIRMED_UP,3491,1,125000,7,4/5,904100000,-27,-27,10.75,16139.403348002583
260C60B0,2022-03-31T06:55:51.375212778Z,UNCONFIRMED_UP,3492,1,125000,7,4/5,905100000,-25,-25,9.25,16120.12947299704
260C60B0,2022-03-31T06:56:07.506940637Z,UNCONFIRMED_UP,3493,1,125000,7,4/5,905300000,-25,-25,9.5,16131.727859001607
260C60B0,2022-03-31T06:56:23.623363116Z,UNCONFIRMED_UP,3494,1,125000,7,4/5,904700000,-25,-25,9.75,16116.422478999943
260C60B0,2022-03-31T06:56:39.744827798Z,UNCONFIRMED_UP,3495,1,125000,7,4/5,905100000,-27,-27,10.25,16121.46468200162
260C60B0,2022-03-31T06:56:55.876100679Z,UNCONFIRMED_UP,3496,1,125000,7,4/5,904900000,-25,-25,9.25,16131.272880997509
260C60B0,2022-03-31T06:57:11.991584472Z,UNCONFIRMED_UP,3497,1,125000,7,4/5,904300000,-24,-24,7,16115.483793001622
260C60B0,2022-03-31T06:57:28.123362603Z,UNCONFIRMED_UP,3498,1,125000,7,4/5,904100000,-25,-25,10.25,16131.778131000698
